zip_code,state_code,service_type,avg_price,min_price,max_price
00601,PR,Unarmed Guard,26.34,18.82,33.85
00601,PR,Armed Guard,38.82,22.85,54.79
00601,PR,Executive Protection,57.85,51.02,64.68
00602,PR,Unarmed Guard,35.47,19.44,51.5
00602,PR,Armed Guard,48.97,24.81,73.14
00602,PR,Executive Protection,64.33,47.19,81.47
00603,PR,Unarmed Guard,21.22,18.68,23.76
00603,PR,Armed Guard,45.86,37.52,54.19
00603,PR,Executive Protection,65.51,47.78,83.25
00606,PR,Unarmed Guard,35.02,18.85,51.18
00606,PR,Armed Guard,47.69,31.36,64.02
00606,PR,Executive Protection,64.6,56.97,72.22
00610,PR,Unarmed Guard,34.27,19.09,49.46
00610,PR,Armed Guard,52.43,30.14,74.73
00610,PR,Executive Protection,65.06,46.54,83.59
00611,PR,Unarmed Guard,34.92,18.58,51.26
00611,PR,Armed Guard,29.3,23.34,35.27
00611,PR,Executive Protection,66.84,57.34,76.34
00612,PR,Unarmed Guard,24.63,19.48,29.77
00612,PR,Armed Guard,44.87,39.66,50.08
00612,PR,Executive Protection,80.66,56.23,105.09
00616,PR,Unarmed Guard,37.98,19.67,56.28
00616,PR,Armed Guard,46.29,21.93,70.64
00616,PR,Executive Protection,70.48,46.7,94.26
00617,PR,Unarmed Guard,24.11,19.25,28.97
00617,PR,Armed Guard,46.37,39.24,53.5
00617,PR,Executive Protection,81.08,58.16,104.0
00622,PR,Unarmed Guard,27.87,18.06,37.69
00622,PR,Armed Guard,44.73,25.32,64.13
00622,PR,Executive Protection,56.0,40.45,71.54
00623,PR,Unarmed Guard,29.12,18.51,39.72
00623,PR,Armed Guard,47.44,34.98,59.89
00623,PR,Executive Protection,61.51,44.23,78.8
00624,PR,Unarmed Guard,32.63,19.52,45.73
00624,PR,Armed Guard,37.96,25.24,50.68
00624,PR,Executive Protection,60.07,44.26,75.88
00627,PR,Unarmed Guard,23.79,19.99,27.59
00627,PR,Armed Guard,26.16,21.05,31.27
00627,PR,Executive Protection,61.96,57.36,66.56
00631,PR,Unarmed Guard,40.01,19.14,60.89
00631,PR,Armed Guard,42.09,26.5,57.69
00631,PR,Executive Protection,65.06,57.09,73.04
00637,PR,Unarmed Guard,37.46,19.12,55.8
00637,PR,Armed Guard,41.87,35.86,47.88
00637,PR,Executive Protection,52.42,46.76,58.08
00638,PR,Unarmed Guard,30.65,18.85,42.46
00638,PR,Armed Guard,34.82,24.53,45.11
00638,PR,Executive Protection,56.66,41.92,71.4
00641,PR,Unarmed Guard,41.7,19.16,64.24
